,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
0,2016-03-25 11:02:39,0,,,0,0
1,2016-03-25 11:02:49,0,,,0,0
2,2016-03-25 11:02:59,79840,18.0,4.0,0,79840
3,2016-03-25 11:03:09,236332,56.0,16.0,0,156492
4,2016-03-25 11:03:20,443684,105.0,30.0,0,207352
5,2016-03-25 11:03:30,586964,139.0,39.0,0,143280
6,2016-03-25 11:03:40,777171,184.0,51.0,0,190207
7,2016-03-25 11:03:50,903724,214.0,60.0,0,126553
8,2016-03-25 11:04:00,1047802,248.0,69.0,0,144078
9,2016-03-25 11:04:11,1200511,284.0,83.0,0,152709
10,2016-03-25 11:04:21,1315611,311.0,90.0,0,115100
11,2016-03-25 11:04:31,1442164,341.0,99.0,0,126553
12,2016-03-25 11:04:41,1654207,392.0,116.0,0,212043
13,2016-03-25 11:04:52,1803620,427.0,125.0,0,149413
14,2016-03-25 11:05:02,1924674,456.0,134.0,0,121054
15,2016-03-25 11:05:12,2051227,486.0,143.0,0,126553
16,2016-03-25 11:05:22,2175016,515.0,153.0,0,123789
17,2016-03-25 11:05:32,2337247,554.0,164.0,0,162231
18,2016-03-25 11:05:43,2500473,592.0,175.0,0,163226
19,2016-03-25 11:05:53,2680203,635.0,188.0,0,179730
20,2016-03-25 11:06:03,2773213,657.0,194.0,0,93010
21,2016-03-25 11:06:13,2898388,687.0,204.0,0,125175
22,2016-03-25 11:06:24,3063138,726.0,215.0,0,164750
23,2016-03-25 11:06:34,3225500,764.0,227.0,0,162362
24,2016-03-25 11:06:44,3357358,796.0,236.0,0,131858
25,2016-03-25 11:06:54,3471250,822.0,243.0,0,113892
26,2016-03-25 11:07:05,3636542,863.0,255.0,0,165292
27,2016-03-25 11:07:15,3766884,893.0,264.0,0,130342
28,2016-03-25 11:07:25,3917098,928.0,276.0,0,150214
29,2016-03-25 11:07:36,4094399,970.0,287.0,0,177301
30,2016-03-25 11:07:46,4213562,998.0,297.0,0,119163
31,2016-03-25 11:07:56,4355464,1032.0,306.0,0,141902
32,2016-03-25 11:08:06,4516451,1071.0,318.0,0,160987
33,2016-03-25 11:08:17,4663654,1106.0,327.0,0,147203
34,2016-03-25 11:08:27,4825852,1144.0,338.0,0,162198
35,2016-03-25 11:08:37,4941171,1171.0,348.0,0,115319
36,2016-03-25 11:08:47,5094308,1208.0,357.0,0,153137
37,2016-03-25 11:08:58,5277061,1251.0,371.0,0,182753
