,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
0,2016-03-25 15:11:14,0,,,0,0
1,2016-03-25 15:11:24,0,,,0,0
2,2016-03-25 15:11:35,146915,34.0,9.0,0,146915
3,2016-03-25 15:11:45,238421,56.0,13.0,0,91506
4,2016-03-25 15:11:55,480129,113.0,30.0,0,241708
5,2016-03-25 15:12:05,566150,134.0,37.0,0,86021
6,2016-03-25 15:12:15,764173,181.0,53.0,0,198023
7,2016-03-25 15:12:26,928502,220.0,62.0,0,164329
8,2016-03-25 15:12:36,1055704,251.0,74.0,0,127202
9,2016-03-25 15:12:46,1225613,290.0,85.0,0,169909
10,2016-03-25 15:12:56,1315611,311.0,90.0,0,89998
11,2016-03-25 15:13:07,1478167,351.0,104.0,0,162556
12,2016-03-25 15:13:17,1654207,392.0,116.0,0,176040
13,2016-03-25 15:13:27,1832820,434.0,127.0,0,178613
14,2016-03-25 15:13:38,1957674,464.0,136.0,0,124854
15,2016-03-25 15:13:48,2106329,499.0,148.0,0,148655
16,2016-03-25 15:13:58,2301089,546.0,162.0,0,194760
17,2016-03-25 15:14:08,2446732,580.0,171.0,0,145643
18,2016-03-25 15:14:19,2590338,614.0,181.0,0,143606
19,2016-03-25 15:14:29,2709461,642.0,190.0,0,119123
20,2016-03-25 15:14:39,2875576,682.0,201.0,0,166115
21,2016-03-25 15:14:49,3060451,726.0,215.0,0,184875
22,2016-03-25 15:15:00,3187425,755.0,222.0,0,126974
23,2016-03-25 15:15:10,3369358,799.0,234.0,0,181933
24,2016-03-25 15:15:20,3481250,825.0,243.0,0,111892
25,2016-03-25 15:15:30,3653644,866.0,257.0,0,172394
26,2016-03-25 15:15:40,3827101,907.0,269.0,0,173457
27,2016-03-25 15:15:51,3949525,936.0,278.0,0,122424
28,2016-03-25 15:16:01,4094399,970.0,287.0,0,144874
29,2016-03-25 15:16:11,4213562,998.0,297.0,0,119163
30,2016-03-25 15:16:21,4397015,1042.0,308.0,0,183453
31,2016-03-25 15:16:32,4532665,1074.0,318.0,0,135650
32,2016-03-25 15:16:42,4706855,1115.0,331.0,0,174190
33,2016-03-25 15:16:52,4855032,1151.0,341.0,0,148177
34,2016-03-25 15:17:02,4970429,1178.0,350.0,0,115397
35,2016-03-25 15:17:13,5132849,1217.0,362.0,0,162420
36,2016-03-25 15:17:23,5332123,1264.0,376.0,0,199274
37,2016-03-25 15:17:33,5436579,1289.0,383.0,0,104456
38,2016-03-25 15:17:43,5619013,1332.0,394.0,0,182434
39,2016-03-25 15:17:53,5760659,1365.0,406.0,0,141646
40,2016-03-25 15:18:04,5881012,1394.0,413.0,0,120353
41,2016-03-25 15:18:14,6031153,1429.0,424.0,0,150141
42,2016-03-25 15:18:24,6167956,1462.0,434.0,0,136803
43,2016-03-25 15:18:34,6318239,1498.0,445.0,0,150283
44,2016-03-25 15:18:45,6506663,1542.0,457.0,0,188424
45,2016-03-25 15:18:55,6599982,1564.0,464.0,0,93319
46,2016-03-25 15:19:05,6755735,1601.0,475.0,0,155753
47,2016-03-25 15:19:15,6911488,1638.0,487.0,0,155753
48,2016-03-25 15:19:26,7081233,1678.0,499.0,0,169745
49,2016-03-25 15:19:36,7209047,1709.0,508.0,0,127814
50,2016-03-25 15:19:46,7365078,1746.0,517.0,0,156031
51,2016-03-25 15:19:56,7514951,1781.0,529.0,0,149873
52,2016-03-25 15:20:07,7702411,1826.0,543.0,0,187460
53,2016-03-25 15:20:17,7871388,1866.0,554.0,0,168977
54,2016-03-25 15:20:27,7985466,1894.0,561.0,0,114078
55,2016-03-25 15:20:37,8144512,1930.0,573.0,0,159046
56,2016-03-25 15:20:47,8287050,1964.0,582.0,0,142538
57,2016-03-25 15:20:58,8440810,2001.0,594.0,0,153760
58,2016-03-25 15:21:08,8580734,2034.0,603.0,0,139924
59,2016-03-25 15:21:18,8751873,2074.0,615.0,0,171139
60,2016-03-25 15:21:28,8905708,2111.0,626.0,0,153835
61,2016-03-25 15:21:39,9073158,2151.0,638.0,0,167450
62,2016-03-25 15:21:49,9166477,2173.0,645.0,0,93319
63,2016-03-25 15:21:59,9345817,2215.0,659.0,0,179340
64,2016-03-25 15:22:09,9463856,2243.0,666.0,0,118039
65,2016-03-25 15:22:20,9592328,2274.0,675.0,0,128472
66,2016-03-25 15:22:30,9809036,2325.0,691.0,0,216708
67,2016-03-25 15:22:40,9920021,2352.0,698.0,0,110985
68,2016-03-25 15:22:50,10113383,2398.0,712.0,0,193362
69,2016-03-25 15:23:01,10226211,2424.0,719.0,0,112828
70,2016-03-25 15:23:11,10384333,2462.0,731.0,0,158122
71,2016-03-25 15:23:21,10524714,2495.0,740.0,0,140381
72,2016-03-25 15:23:31,10696252,2535.0,754.0,0,171538
73,2016-03-25 15:23:42,10827388,2567.0,763.0,0,131136
74,2016-03-25 15:23:52,10981457,2603.0,773.0,0,154069
75,2016-03-25 15:24:02,11127886,2638.0,784.0,0,146429
76,2016-03-25 15:24:12,11319939,2684.0,798.0,0,192053
77,2016-03-25 15:24:22,11493908,2725.0,810.0,0,173969
78,2016-03-25 15:24:33,11615443,2753.0,819.0,0,121535
79,2016-03-25 15:24:43,11730722,2781.0,826.0,0,115279
80,2016-03-25 15:24:53,11849920,2809.0,835.0,0,119198
81,2016-03-25 15:25:03,12007011,2846.0,845.0,0,157091
82,2016-03-25 15:25:13,12213294,2895.0,861.0,0,206283
83,2016-03-25 15:25:24,12335730,2924.0,868.0,0,122436
84,2016-03-25 15:25:34,12483765,2959.0,879.0,0,148035
85,2016-03-25 15:25:44,12696316,3010.0,893.0,0,212551
86,2016-03-25 15:25:54,12823374,3040.0,903.0,0,127058
87,2016-03-25 15:26:05,12967853,3074.0,914.0,0,144479
88,2016-03-25 15:26:15,13120376,3110.0,923.0,0,152523
89,2016-03-25 15:26:25,13273912,3147.0,935.0,0,153536
90,2016-03-25 15:26:35,13435658,3186.0,947.0,0,161746
91,2016-03-25 15:26:46,13610665,3226.0,958.0,0,175007
92,2016-03-25 15:26:56,13702519,3248.0,965.0,0,91854
93,2016-03-25 15:27:06,13889661,3293.0,979.0,0,187142
94,2016-03-25 15:27:16,14029552,3326.0,988.0,0,139891
95,2016-03-25 15:27:27,14176298,3361.0,998.0,0,146746
96,2016-03-25 15:27:37,14295429,3389.0,1007.0,0,119131
97,2016-03-25 15:27:47,14443850,3424.0,1016.0,0,148421
98,2016-03-25 15:27:57,14594006,3460.0,1028.0,0,150156
99,2016-03-25 15:28:08,14720559,3490.0,1037.0,0,126553
100,2016-03-25 15:28:18,14879487,3527.0,1049.0,0,158928
101,2016-03-25 15:28:28,15046899,3567.0,1060.0,0,167412
102,2016-03-25 15:28:38,15176911,3598.0,1070.0,0,130012
103,2016-03-25 15:28:49,15347643,3638.0,1081.0,0,170732
104,2016-03-25 15:28:59,15488008,3672.0,1091.0,0,140365
105,2016-03-25 15:29:09,15680817,3717.0,1105.0,0,192809
106,2016-03-25 15:29:19,15832269,3753.0,1116.0,0,151452
107,2016-03-25 15:29:29,15950034,3781.0,1123.0,0,117765
