,RECORD_AFTER,RECORD_BEFORE,SPEND_TIME,TIME_AFTER,TIME_BEFORE
0,,3887005,64.9092609882,,2016-03-15 20:00:02
1,,3887005,86.6784110069,,2016-03-15 20:00:02
2,,7809915,60.9945201874,,2016-03-15 20:05:01
3,,7809915,102.486173868,,2016-03-15 20:05:01
4,,11677896,67.1431570053,,2016-03-15 20:10:01
5,,11677896,92.6247990131,,2016-03-15 20:10:01
6,,15541088,66.9505021572,,2016-03-15 20:15:02
7,,15541088,68.8758270741,,2016-03-15 20:15:02
8,,19432983,82.2076938152,,2016-03-15 20:20:01
9,,19432983,123.524236917,,2016-03-15 20:20:01
10,,23345777,75.0563268661,,2016-03-15 20:25:01
11,,23345777,98.7152991295,,2016-03-15 20:25:01
12,,27264292,81.6497600079,,2016-03-15 20:30:01
13,,27264292,100.623537064,,2016-03-15 20:30:01
14,,31159916,89.4752788544,,2016-03-15 20:35:01
15,,31159916,92.2220909595,,2016-03-15 20:35:01
16,,35047824,74.440956831,,2016-03-15 20:40:01
17,,35047824,91.9721660614,,2016-03-15 20:40:01
18,,38931176,89.9853239059,,2016-03-15 20:45:01
19,,38931176,104.947426081,,2016-03-15 20:45:01
20,,42790389,86.594078064,,2016-03-15 20:50:01
21,,42790389,93.9604380131,,2016-03-15 20:50:01
22,,46679768,71.162473917,,2016-03-15 20:55:02
23,,46679768,103.053025007,,2016-03-15 20:55:02
24,,50566773,98.7430818081,,2016-03-15 21:00:01
25,,50566773,136.732033968,,2016-03-15 21:00:01
26,,54489683,107.841888905,,2016-03-15 21:05:01
27,,54489683,108.437462091,,2016-03-15 21:05:01
28,,58357664,85.6850430965,,2016-03-15 21:10:02
29,,58357664,104.109118223,,2016-03-15 21:10:02
30,,62220856,117.827718019,,2016-03-15 21:15:01
31,,62220856,141.579483032,,2016-03-15 21:15:01
32,,66112751,75.8103652,,2016-03-15 21:20:01
33,,66112751,136.675060034,,2016-03-15 21:20:01
34,,70025545,114.968868971,,2016-03-15 21:25:01
35,,70025545,128.436305046,,2016-03-15 21:25:01
36,,73944060,76.9345929623,,2016-03-15 21:30:01
37,,73944060,85.0584318638,,2016-03-15 21:30:01
38,,77839684,71.0468850136,,2016-03-15 21:35:01
39,,77839684,75.3882780075,,2016-03-15 21:35:01
40,,81727592,82.5329871178,,2016-03-15 21:40:01
41,,81727592,135.159067154,,2016-03-15 21:40:01
42,,85610944,68.3657319546,,2016-03-15 21:45:01
43,,85610944,80.8653011322,,2016-03-15 21:45:01
44,,89470157,95.8160510063,,2016-03-15 21:50:01
45,,89470157,100.108671904,,2016-03-15 21:50:01
46,,93359536,76.805355072,,2016-03-15 21:55:01
47,,93359536,141.187955141,,2016-03-15 21:55:01
48,,97246541,76.3415181637,,2016-03-15 22:00:01
49,,97246541,94.748666048,,2016-03-15 22:00:01
50,,101169451,86.3049590588,,2016-03-15 22:05:02
51,,101169451,130.423890829,,2016-03-15 22:05:02
52,,105037432,84.0581028461,,2016-03-15 22:10:01
53,,105037432,100.97766304,,2016-03-15 22:10:01
54,,108900624,70.8633239269,,2016-03-15 22:15:02
55,,108900624,114.211062908,,2016-03-15 22:15:02
56,,112792519,118.990193129,,2016-03-15 22:20:01
57,,112792519,157.40819788,,2016-03-15 22:20:01
