now,doc,size(MB),storageSize(MB),chunk
2016-03-25 10:41:10,0,,,0
2016-03-25 10:41:20,0,,,0
2016-03-25 10:41:31,0,,,0
2016-03-25 10:41:41,0,,,0
2016-03-25 10:41:51,0,,,0
2016-03-25 10:42:01,79840,18,4,0
2016-03-25 10:42:12,236332,56,13,0
2016-03-25 10:42:22,441139,105,27,0
2016-03-25 10:42:32,579150,137,39,0
2016-03-25 10:42:42,777171,184,53,0
2016-03-25 10:42:53,953280,226,64,0
2016-03-25 10:43:03,1072566,254,74,0
2016-03-25 10:43:13,1225613,290,85,0
2016-03-25 10:43:23,1380523,327,97,0
2016-03-25 10:43:34,1477200,350,99,0
2016-03-25 10:43:44,1654207,392,116,0
2016-03-25 10:43:54,1822780,432,127,0
2016-03-25 10:44:04,1928284,457,134,0
2016-03-25 10:44:14,2094780,497,146,0
2016-03-25 10:44:25,2229204,528,155,0
2016-03-25 10:44:35,2415478,572,169,0
2016-03-25 10:44:45,2526277,598,176,0
2016-03-25 10:44:55,2709461,642,190,0
2016-03-25 10:45:06,2887960,684,201,0
2016-03-25 10:45:17,3028709,718,213,0
2016-03-25 10:45:27,3225500,764,227,0
2016-03-25 10:45:37,3317358,786,232,0
2016-03-25 10:45:47,3471250,822,243,0
2016-03-25 10:45:58,3619813,858,255,0
2016-03-25 10:46:08,3766884,893,264,0
2016-03-25 10:46:18,3917098,928,276,0
2016-03-25 10:46:28,4094399,970,287,0
2016-03-25 10:46:39,4213562,998,294,0
2016-03-25 10:46:49,4340115,1028,304,0
2016-03-25 10:46:59,4475685,1061,315,0
2016-03-25 10:47:09,4618182,1094,324,0
2016-03-25 10:47:19,4752591,1127,334,0
2016-03-25 10:47:30,4941171,1171,348,0
2016-03-25 10:47:40,5057034,1199,355,0
2016-03-25 10:47:50,5220742,1238,366,0
2016-03-25 10:48:01,5349614,1268,376,0
2016-03-25 10:48:11,5486115,1301,385,0
2016-03-25 10:48:21,5679753,1346,399,0
2016-03-25 10:48:32,5770391,1368,406,0
2016-03-25 10:48:42,5976051,1416,420,0
2016-03-25 10:48:52,6093730,1444,429,0
2016-03-25 10:49:02,6228641,1477,438,0
2016-03-25 10:49:12,6337389,1503,445,0
2016-03-25 10:49:23,6471790,1534,454,0
2016-03-25 10:49:33,6599982,1564,464,0
2016-03-25 10:49:43,6755735,1601,475,0
2016-03-25 10:49:53,6932756,1643,487,0
2016-03-25 10:50:04,7026131,1665,494,0
2016-03-25 10:50:14,7141972,1693,503,0
2016-03-25 10:50:24,7294564,1729,512,0
2016-03-25 10:50:34,7454734,1767,524,0
2016-03-25 10:50:44,7606867,1803,536,0
2016-03-25 10:50:55,7733350,1833,545,0
2016-03-25 10:51:05,7897192,1872,554,0
2016-03-25 10:51:15,7990511,1894,561,0
2016-03-25 10:51:25,8207170,1945,577,0
2016-03-25 10:51:36,8312854,1970,585,0
2016-03-25 10:51:46,8465588,2007,596,0
2016-03-25 10:51:56,8625740,2045,608,0
2016-03-25 10:52:06,8751873,2074,615,0
2016-03-25 10:52:17,8931512,2117,629,0
2016-03-25 10:52:27,9076612,2151,638,0
2016-03-25 10:52:37,9248285,2193,652,0
2016-03-25 10:52:47,9380620,2224,661,0
2016-03-25 10:52:58,9524596,2258,670,0
2016-03-25 10:53:08,9653084,2288,680,0
2016-03-25 10:53:18,9805661,2324,689,0
2016-03-25 10:53:28,9927978,2354,698,0
2016-03-25 10:53:39,10107536,2396,712,0
2016-03-25 10:53:49,10197011,2417,717,0
2016-03-25 10:53:59,10381065,2461,731,0
2016-03-25 10:54:10,10530391,2496,742,0
2016-03-25 10:54:20,10611257,2515,747,0
2016-03-25 10:54:30,10794272,2559,761,0
2016-03-25 10:54:41,10952704,2596,770,0
2016-03-25 10:54:51,11041377,2617,777,0
2016-03-25 10:55:01,11157218,2645,787,0
2016-03-25 10:55:11,11309150,2681,796,0
2016-03-25 10:55:22,11496133,2725,810,0
2016-03-25 10:55:32,11610288,2752,819,0
2016-03-25 10:55:42,11731245,2781,826,0
2016-03-25 10:55:52,11898368,2821,838,0
2016-03-25 10:56:02,12091116,2866,852,0
2016-03-25 10:56:13,12220850,2897,861,0
2016-03-25 10:56:23,12353756,2929,870,0
2016-03-25 10:56:33,12492441,2961,879,0
2016-03-25 10:56:43,12621058,2992,889,0
2016-03-25 10:56:54,12805222,3036,903,0
2016-03-25 10:57:04,12941094,3068,912,0
2016-03-25 10:57:14,13072628,3099,921,0
2016-03-25 10:57:24,13228509,3136,933,0
2016-03-25 10:57:35,13378685,3172,943,0
2016-03-25 10:57:45,13491668,3198,951,0
2016-03-25 10:57:55,13656600,3238,963,0
2016-03-25 10:58:05,13829238,3278,975,0
2016-03-25 10:58:16,13922754,3301,982,0
2016-03-25 10:58:26,14070512,3336,991,0
2016-03-25 10:58:36,14236971,3375,1004,0
2016-03-25 10:58:47,14359490,3404,1012,0
2016-03-25 10:58:57,14506589,3439,1021,0
2016-03-25 10:59:07,14627464,3468,1030,0
2016-03-25 10:59:17,14848373,3520,1047,0
2016-03-25 10:59:28,14965004,3548,1053,0
2016-03-25 10:59:38,15028899,3563,1060,0
2016-03-25 10:59:48,15113201,3583,1065,0
2016-03-25 10:59:58,15228520,3610,1072,0
2016-03-25 11:00:08,15321673,3632,1079,0
2016-03-25 11:00:18,15432365,3659,1088,0
2016-03-25 11:00:29,15530213,3682,1093,0
2016-03-25 11:00:39,15530213,3682,1095,0
2016-03-25 11:00:49,15530213,3682,1095,0
2016-03-25 11:00:59,15530213,3682,1095,0
