now,doc,size(MB),storageSize(MB),chunk
2016-03-25 15:11:14,0,,,0
2016-03-25 15:11:24,0,,,0
2016-03-25 15:11:35,146915,34,9,0
2016-03-25 15:11:45,238421,56,13,0
2016-03-25 15:11:55,480129,113,30,0
2016-03-25 15:12:05,566150,134,37,0
2016-03-25 15:12:15,764173,181,53,0
2016-03-25 15:12:26,928502,220,62,0
2016-03-25 15:12:36,1055704,251,74,0
2016-03-25 15:12:46,1225613,290,85,0
2016-03-25 15:12:56,1315611,311,90,0
2016-03-25 15:13:07,1478167,351,104,0
2016-03-25 15:13:17,1654207,392,116,0
2016-03-25 15:13:27,1832820,434,127,0
2016-03-25 15:13:38,1957674,464,136,0
2016-03-25 15:13:48,2106329,499,148,0
2016-03-25 15:13:58,2301089,546,162,0
2016-03-25 15:14:08,2446732,580,171,0
2016-03-25 15:14:19,2590338,614,181,0
2016-03-25 15:14:29,2709461,642,190,0
2016-03-25 15:14:39,2875576,682,201,0
2016-03-25 15:14:49,3060451,726,215,0
2016-03-25 15:15:00,3187425,755,222,0
2016-03-25 15:15:10,3369358,799,234,0
2016-03-25 15:15:20,3481250,825,243,0
2016-03-25 15:15:30,3653644,866,257,0
2016-03-25 15:15:40,3827101,907,269,0
2016-03-25 15:15:51,3949525,936,278,0
2016-03-25 15:16:01,4094399,970,287,0
2016-03-25 15:16:11,4213562,998,297,0
2016-03-25 15:16:21,4397015,1042,308,0
2016-03-25 15:16:32,4532665,1074,318,0
2016-03-25 15:16:42,4706855,1115,331,0
2016-03-25 15:16:52,4855032,1151,341,0
2016-03-25 15:17:02,4970429,1178,350,0
2016-03-25 15:17:13,5132849,1217,362,0
2016-03-25 15:17:23,5332123,1264,376,0
2016-03-25 15:17:33,5436579,1289,383,0
2016-03-25 15:17:43,5619013,1332,394,0
2016-03-25 15:17:53,5760659,1365,406,0
2016-03-25 15:18:04,5881012,1394,413,0
2016-03-25 15:18:14,6031153,1429,424,0
2016-03-25 15:18:24,6167956,1462,434,0
2016-03-25 15:18:34,6318239,1498,445,0
2016-03-25 15:18:45,6506663,1542,457,0
2016-03-25 15:18:55,6599982,1564,464,0
2016-03-25 15:19:05,6755735,1601,475,0
2016-03-25 15:19:15,6911488,1638,487,0
2016-03-25 15:19:26,7081233,1678,499,0
2016-03-25 15:19:36,7209047,1709,508,0
2016-03-25 15:19:46,7365078,1746,517,0
2016-03-25 15:19:56,7514951,1781,529,0
2016-03-25 15:20:07,7702411,1826,543,0
2016-03-25 15:20:17,7871388,1866,554,0
2016-03-25 15:20:27,7985466,1894,561,0
2016-03-25 15:20:37,8144512,1930,573,0
2016-03-25 15:20:47,8287050,1964,582,0
2016-03-25 15:20:58,8440810,2001,594,0
2016-03-25 15:21:08,8580734,2034,603,0
2016-03-25 15:21:18,8751873,2074,615,0
2016-03-25 15:21:28,8905708,2111,626,0
2016-03-25 15:21:39,9073158,2151,638,0
2016-03-25 15:21:49,9166477,2173,645,0
2016-03-25 15:21:59,9345817,2215,659,0
2016-03-25 15:22:09,9463856,2243,666,0
2016-03-25 15:22:20,9592328,2274,675,0
2016-03-25 15:22:30,9809036,2325,691,0
2016-03-25 15:22:40,9920021,2352,698,0
2016-03-25 15:22:50,10113383,2398,712,0
2016-03-25 15:23:01,10226211,2424,719,0
2016-03-25 15:23:11,10384333,2462,731,0
2016-03-25 15:23:21,10524714,2495,740,0
2016-03-25 15:23:31,10696252,2535,754,0
2016-03-25 15:23:42,10827388,2567,763,0
2016-03-25 15:23:52,10981457,2603,773,0
2016-03-25 15:24:02,11127886,2638,784,0
2016-03-25 15:24:12,11319939,2684,798,0
2016-03-25 15:24:22,11493908,2725,810,0
2016-03-25 15:24:33,11615443,2753,819,0
2016-03-25 15:24:43,11730722,2781,826,0
2016-03-25 15:24:53,11849920,2809,835,0
2016-03-25 15:25:03,12007011,2846,845,0
2016-03-25 15:25:13,12213294,2895,861,0
2016-03-25 15:25:24,12335730,2924,868,0
2016-03-25 15:25:34,12483765,2959,879,0
2016-03-25 15:25:44,12696316,3010,893,0
2016-03-25 15:25:54,12823374,3040,903,0
2016-03-25 15:26:05,12967853,3074,914,0
2016-03-25 15:26:15,13120376,3110,923,0
2016-03-25 15:26:25,13273912,3147,935,0
2016-03-25 15:26:35,13435658,3186,947,0
2016-03-25 15:26:46,13610665,3226,958,0
2016-03-25 15:26:56,13702519,3248,965,0
2016-03-25 15:27:06,13889661,3293,979,0
2016-03-25 15:27:16,14029552,3326,988,0
2016-03-25 15:27:27,14176298,3361,998,0
2016-03-25 15:27:37,14295429,3389,1007,0
2016-03-25 15:27:47,14443850,3424,1016,0
2016-03-25 15:27:57,14594006,3460,1028,0
2016-03-25 15:28:08,14720559,3490,1037,0
2016-03-25 15:28:18,14879487,3527,1049,0
2016-03-25 15:28:28,15046899,3567,1060,0
2016-03-25 15:28:38,15176911,3598,1070,0
2016-03-25 15:28:49,15347643,3638,1081,0
2016-03-25 15:28:59,15488008,3672,1091,0
2016-03-25 15:29:09,15680817,3717,1105,0
2016-03-25 15:29:19,15832269,3753,1116,0
2016-03-25 15:29:29,15950034,3781,1123,0
2016-03-25 15:29:40,16102104,3817,1135,0
2016-03-25 15:29:50,16247488,3852,1144,0
2016-03-25 15:30:00,16374960,3882,1153,0
2016-03-25 15:30:10,16501513,3912,1163,0
2016-03-25 15:30:21,16706697,3960,1177,0
2016-03-25 15:30:31,16821415,3988,1186,0
2016-03-25 15:30:41,17006364,4032,1198,0
2016-03-25 15:30:51,17129239,4061,1207,0
2016-03-25 15:31:02,17303257,4102,1218,0
2016-03-25 15:31:12,17467968,4141,1228,0
2016-03-25 15:31:22,17631423,4180,1241,0
2016-03-25 15:31:32,17778293,4215,1251,0
2016-03-25 15:31:42,17946059,4254,1268,0
2016-03-25 15:31:53,18106461,4293,1275,0
2016-03-25 15:32:03,18277865,4333,1291,0
2016-03-25 15:32:13,18398981,4362,1293,0
2016-03-25 15:32:23,18519937,4390,1307,0
2016-03-25 15:32:34,18706135,4435,1316,0
2016-03-25 15:32:44,18848673,4468,1330,0
2016-03-25 15:32:54,18998655,4505,1340,0
2016-03-25 15:33:04,19182822,4548,1351,0
2016-03-25 15:33:15,19299474,4575,1363,0
2016-03-25 15:33:25,19450298,4611,1372,0
2016-03-25 15:33:35,19675027,4664,1388,0
2016-03-25 15:33:45,19797425,4694,1394,0
2016-03-25 15:33:56,19931757,4725,1394,0
2016-03-25 15:34:06,20114773,4769,1416,0
2016-03-25 15:34:16,20319791,4817,1434,0
2016-03-25 15:34:26,20446382,4847,1441,0
2016-03-25 15:34:36,20601243,4884,1453,0
2016-03-25 15:34:47,20749322,4920,1465,0
2016-03-25 15:34:57,20931062,4962,1474,0
2016-03-25 15:35:07,21083195,4998,1488,0
2016-03-25 15:35:17,21245902,5037,1502,0
2016-03-25 15:35:28,21384112,5069,1509,0
2016-03-25 15:35:38,21534550,5105,1520,0
